"","Origin.ID","Destination.ID","Traffic.V"
"605",83,13,874
"606",3,153,860
"607",131,95,846
"608",9,169,845
"609",75,31,836
"610",123,155,834
"611",19,197,832
"612",197,201,831
"613",89,63,825
"614",117,163,822
"615",95,109,821
"616",167,19,818
"617",153,3,812
"618",63,89,810
"619",117,137,804
"620",73,143,797
"621",193,191,791
"622",191,193,785
"623",155,123,784
"624",119,61,783
"625",121,163,778
"626",201,99,778
"627",47,159,778
"628",121,49,774
"629",167,31,772
"630",149,137,770
"631",163,121,770
"632",7,43,770
"633",141,99,757
"634",143,99,755
"635",201,195,754
"636",31,75,753
"637",81,145,753
"638",163,117,745
"639",105,31,744
"640",113,43,740
"641",159,47,740
"642",185,101,733
"643",165,151,728
"644",31,105,728
"645",137,149,727
"646",173,51,727
"647",119,51,726
"648",43,7,725
"649",35,173,712
"650",19,91,711
"651",117,61,709
"652",101,185,699
"653",103,31,696
"654",51,173,694
"655",179,123,693
"656",115,41,692
"657",125,129,692
"658",173,35,692
"659",23,49,691
"660",31,167,688
"661",183,53,685
"662",57,169,685
"663",41,115,684
"664",137,117,680
"665",75,105,680
"666",49,121,678
"667",129,125,676
"668",123,11,675
"669",143,167,674
"670",61,119,674
"671",99,143,666
"672",51,119,663
"673",99,201,661
"674",13,83,657
"675",71,67,657
"676",43,113,651
"677",99,141,650
"678",105,75,649
"679",11,123,640
"680",167,143,638
"681",75,197,635
"682",151,165,633
"683",169,57,632
"684",193,59,629
"685",19,49,628
"686",77,87,628
"687",59,193,626
"688",67,71,626
"689",61,117,621
"690",87,77,621
"691",19,43,619
"692",123,179,617
"693",197,19,617
"694",125,143,612
"695",165,77,611
"696",145,81,610
"697",197,75,601
"698",19,179,599
"699",127,87,596
"700",19,143,593
"701",143,125,589
"702",187,161,587
"703",141,43,583
"704",77,165,579
"705",87,127,577
"706",129,17,573
"707",163,5,573
"708",165,65,571
"709",91,19,563
"710",37,97,558
"711",103,43,552
"712",45,41,551
"713",5,163,551
"714",41,45,549
"715",179,19,548
"716",143,11,547
"717",103,89,544
"718",139,147,543
"719",99,73,542
"720",49,23,532
"721",165,87,531
"722",147,139,530
"723",143,107,529
"724",31,103,529
"725",65,165,529
"726",149,9,528
"727",183,113,527
"728",161,187,526
"729",107,129,516
"730",29,115,516
"731",7,97,516
"732",97,37,515
"733",163,167,513
"734",143,31,510
"735",81,77,510
"736",125,17,507
"737",147,113,507
"738",17,129,503
"739",93,97,503
"740",127,151,502
"741",143,19,502
"742",195,201,502
"743",167,163,500
"744",43,141,500
"745",9,137,500
"746",115,29,494
"747",177,195,494
"748",43,19,494
"749",151,127,493
"750",181,3,493
"751",127,153,492
"752",113,147,488
"753",9,149,488
"754",187,73,487
"755",109,1,484
"756",49,19,484
"757",87,165,483
"758",3,181,481
"759",19,139,479
"760",97,93,477
"761",185,193,474
"762",87,151,474
"763",103,15,470
"764",19,45,470
"765",89,103,468
"766",151,87,467
"767",179,73,462
"768",159,49,461
"769",145,163,460
"770",193,185,455
"771",11,143,454
"772",27,51,454
"773",53,91,453
"774",137,9,451
"775",153,127,443
"776",163,145,442
"777",11,175,441
"778",119,49,439
"779",51,27,439
"780",97,7,439
"781",87,153,436
"782",91,53,436
"783",45,19,435
"784",85,201,435
"785",65,191,434
"786",179,99,433
"787",107,143,432
"788",163,135,432
"789",31,143,430
"790",61,13,427
"791",171,61,426
"792",61,171,426
"793",179,31,425
"794",21,51,425
