Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Trip Duration 0-10 min (percent),Trip Duration 10-20 min (percent),Trip Duration 20-30 min (percent),Trip Duration 30-40 min (percent),Trip Duration 40-50 min (percent),Trip Duration 50-60 min (percent),Trip Duration 60-70 min (percent),Trip Duration 70-80 min (percent),Trip Duration 80-90 min (percent),Trip Duration 90-100 min (percent),Trip Duration 100-110 min (percent),Trip Duration 110-120 min (percent),Trip Duration 120-130 min (percent),Trip Duration 130-140 min (percent),Trip Duration 140-150 min (percent),Trip Duration 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70-80 mph (percent),Trip Speed 80-90 mph (percent),Trip Speed 90+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3303733,1765,1833,9.2,9.5,16,16,1.954,0.128,0.286,0.215,0.138,0.087,0.053,0.033,0.020,0.013,0.008,0.005,0.003,0.002,0.002,0.001,0.006,0.070,0.143,0.298,0.214,0.155,0.064,0.028,0.011,0.005,0.003,0.002,0.001,0.001,0.005,0.312,0.404,0.194,0.060,0.021,0.007,0.002,0.000,0.000,0.000,0.832,0.094,0.027,0.014,0.008,0.025
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),592037,1875,1913,10.5,10.6,18,18,1.827,0.111,0.252,0.210,0.153,0.105,0.067,0.041,0.024,0.014,0.008,0.005,0.003,0.002,0.001,0.001,0.003,0.059,0.121,0.257,0.207,0.199,0.091,0.037,0.014,0.006,0.003,0.002,0.001,0.001,0.002,0.260,0.387,0.236,0.081,0.027,0.007,0.002,0.000,0.000,0.000,0.859,0.082,0.023,0.011,0.006,0.019
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),1014464,1657,1731,8.1,8.5,15,15,1.992,0.139,0.301,0.219,0.133,0.080,0.047,0.028,0.017,0.011,0.007,0.004,0.003,0.002,0.002,0.001,0.006,0.077,0.158,0.321,0.211,0.136,0.052,0.022,0.009,0.004,0.002,0.002,0.001,0.001,0.004,0.344,0.400,0.177,0.052,0.019,0.006,0.002,0.000,0.000,0.000,0.823,0.099,0.029,0.014,0.008,0.027
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),1035021,1823,1886,8.9,9.2,15,15,1.935,0.123,0.277,0.214,0.138,0.087,0.054,0.035,0.023,0.015,0.010,0.006,0.004,0.003,0.002,0.002,0.007,0.071,0.144,0.305,0.220,0.151,0.059,0.026,0.010,0.004,0.002,0.001,0.001,0.001,0.005,0.328,0.433,0.175,0.043,0.014,0.005,0.002,0.000,0.000,0.000,0.828,0.097,0.028,0.014,0.008,0.025
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),3409757,1774,1841,9.0,9.3,16,16,1.954,0.127,0.282,0.214,0.139,0.088,0.055,0.034,0.021,0.013,0.008,0.005,0.003,0.002,0.002,0.001,0.006,0.070,0.143,0.299,0.213,0.158,0.066,0.028,0.011,0.004,0.002,0.001,0.001,0.001,0.003,0.313,0.409,0.194,0.057,0.019,0.006,0.002,0.000,0.000,0.000,0.831,0.094,0.028,0.014,0.008,0.025
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),706453,1942,1977,10.8,10.9,18,18,1.816,0.104,0.240,0.206,0.155,0.110,0.072,0.045,0.027,0.016,0.009,0.005,0.003,0.002,0.001,0.001,0.004,0.057,0.115,0.251,0.206,0.207,0.096,0.039,0.014,0.006,0.003,0.002,0.001,0.001,0.002,0.254,0.394,0.242,0.079,0.024,0.006,0.001,0.000,0.000,0.000,0.859,0.083,0.023,0.011,0.006,0.018
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),957970,1643,1725,7.9,8.3,15,15,2.025,0.141,0.302,0.218,0.131,0.079,0.047,0.028,0.017,0.011,0.007,0.005,0.003,0.002,0.002,0.001,0.006,0.080,0.162,0.322,0.207,0.135,0.051,0.022,0.009,0.004,0.002,0.001,0.001,0.001,0.003,0.349,0.401,0.175,0.051,0.018,0.005,0.001,0.000,0.000,0.000,0.817,0.101,0.030,0.015,0.009,0.028
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),1094278,1827,1891,8.6,8.9,15,15,1.939,0.122,0.277,0.213,0.138,0.088,0.055,0.036,0.023,0.016,0.010,0.006,0.004,0.003,0.002,0.001,0.006,0.071,0.145,0.304,0.221,0.152,0.060,0.026,0.010,0.003,0.002,0.001,0.001,0.001,0.003,0.331,0.445,0.170,0.038,0.011,0.004,0.001,0.000,0.000,0.000,0.827,0.098,0.028,0.014,0.008,0.025
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2921163,1728,1793,9.6,9.9,17,17,1.943,0.134,0.294,0.219,0.136,0.083,0.049,0.029,0.018,0.011,0.007,0.005,0.003,0.002,0.002,0.001,0.007,0.070,0.143,0.305,0.216,0.146,0.061,0.028,0.011,0.005,0.003,0.002,0.002,0.001,0.007,0.308,0.385,0.198,0.069,0.027,0.010,0.003,0.000,0.000,0.000,0.838,0.091,0.026,0.013,0.008,0.024
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),309440,1574,1623,8.9,9.1,18,18,1.881,0.150,0.308,0.223,0.136,0.078,0.043,0.024,0.013,0.008,0.005,0.003,0.002,0.002,0.001,0.001,0.003,0.072,0.149,0.301,0.208,0.153,0.064,0.027,0.011,0.005,0.003,0.002,0.001,0.001,0.003,0.290,0.361,0.212,0.085,0.036,0.012,0.003,0.001,0.000,0.000,0.859,0.079,0.022,0.011,0.007,0.022
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),1124602,1675,1732,8.6,8.8,16,16,1.923,0.134,0.298,0.223,0.136,0.082,0.048,0.028,0.017,0.010,0.007,0.004,0.003,0.002,0.002,0.001,0.005,0.071,0.150,0.322,0.221,0.138,0.052,0.022,0.009,0.004,0.002,0.002,0.001,0.001,0.005,0.330,0.399,0.183,0.056,0.021,0.008,0.003,0.000,0.000,0.000,0.835,0.094,0.026,0.013,0.008,0.024
All Vehicles - StL All Vehicles Volume,Destination,43,DUPAGE,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),874341,1781,1836,9.8,10.0,16,16,1.907,0.130,0.286,0.217,0.137,0.084,0.051,0.031,0.020,0.012,0.008,0.005,0.004,0.003,0.002,0.002,0.008,0.070,0.142,0.303,0.218,0.147,0.060,0.028,0.011,0.005,0.003,0.002,0.002,0.001,0.008,0.315,0.390,0.196,0.063,0.024,0.009,0.003,0.000,0.000,0.000,0.839,0.092,0.026,0.013,0.007,0.023
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),55154,1627,1703,10.0,10.2,17,17,2.233,0.190,0.303,0.189,0.113,0.070,0.045,0.028,0.018,0.012,0.008,0.005,0.004,0.003,0.002,0.002,0.008,0.133,0.214,0.263,0.118,0.120,0.073,0.033,0.016,0.007,0.007,0.004,0.002,0.002,0.008,0.418,0.250,0.145,0.108,0.058,0.017,0.003,0.001,0.000,0.000,0.799,0.093,0.035,0.020,0.012,0.041
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),9385,1601,1654,9.9,10.0,18,18,2.082,0.185,0.301,0.196,0.118,0.074,0.046,0.027,0.016,0.011,0.008,0.005,0.003,0.002,0.002,0.001,0.005,0.128,0.196,0.255,0.129,0.138,0.079,0.037,0.016,0.006,0.005,0.003,0.002,0.001,0.005,0.383,0.250,0.160,0.121,0.063,0.019,0.003,0.001,0.000,0.000,0.814,0.089,0.034,0.017,0.011,0.035
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),17222,1578,1669,9.1,9.3,16,16,2.280,0.198,0.314,0.185,0.109,0.065,0.041,0.026,0.017,0.012,0.008,0.006,0.004,0.003,0.002,0.002,0.008,0.143,0.233,0.274,0.108,0.108,0.064,0.026,0.014,0.007,0.007,0.004,0.002,0.002,0.008,0.455,0.252,0.134,0.094,0.048,0.014,0.003,0.000,0.000,0.000,0.790,0.098,0.036,0.021,0.013,0.042
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),17518,1649,1724,10.2,10.3,17,17,2.233,0.186,0.298,0.190,0.113,0.073,0.046,0.030,0.019,0.012,0.009,0.006,0.004,0.003,0.002,0.002,0.007,0.130,0.210,0.264,0.122,0.116,0.075,0.035,0.018,0.007,0.007,0.004,0.003,0.002,0.007,0.414,0.251,0.146,0.111,0.059,0.016,0.003,0.000,0.000,0.000,0.797,0.094,0.036,0.020,0.012,0.041
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),56903,1593,1675,9.6,9.8,17,17,2.250,0.193,0.308,0.189,0.112,0.069,0.043,0.027,0.017,0.011,0.008,0.005,0.004,0.003,0.002,0.002,0.007,0.134,0.218,0.272,0.116,0.115,0.071,0.031,0.016,0.007,0.006,0.003,0.002,0.002,0.007,0.423,0.254,0.142,0.105,0.056,0.016,0.003,0.001,0.000,0.000,0.794,0.096,0.036,0.020,0.012,0.042
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),10713,1607,1661,9.9,10.1,18,18,2.102,0.182,0.299,0.197,0.119,0.076,0.047,0.027,0.016,0.011,0.008,0.005,0.003,0.002,0.002,0.001,0.005,0.126,0.189,0.259,0.127,0.140,0.084,0.038,0.016,0.006,0.005,0.002,0.002,0.001,0.005,0.376,0.252,0.163,0.124,0.063,0.018,0.003,0.001,0.000,0.000,0.812,0.091,0.034,0.016,0.011,0.036
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),16760,1538,1640,8.5,8.8,15,15,2.325,0.204,0.321,0.182,0.106,0.062,0.039,0.025,0.017,0.011,0.008,0.006,0.004,0.003,0.002,0.002,0.008,0.147,0.243,0.287,0.104,0.095,0.060,0.024,0.013,0.006,0.006,0.004,0.002,0.002,0.007,0.474,0.256,0.126,0.087,0.043,0.012,0.002,0.000,0.000,0.000,0.781,0.103,0.037,0.021,0.013,0.045
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),18786,1613,1695,9.7,9.9,17,17,2.262,0.190,0.301,0.189,0.111,0.072,0.045,0.030,0.018,0.012,0.009,0.005,0.004,0.003,0.002,0.002,0.007,0.133,0.214,0.266,0.123,0.112,0.072,0.033,0.018,0.007,0.007,0.004,0.003,0.002,0.006,0.418,0.256,0.143,0.107,0.057,0.016,0.003,0.000,0.000,0.000,0.787,0.098,0.038,0.021,0.013,0.043
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),48294,1678,1740,10.9,11.0,18,18,2.159,0.188,0.294,0.190,0.114,0.071,0.047,0.029,0.019,0.013,0.009,0.006,0.004,0.004,0.002,0.002,0.008,0.129,0.212,0.245,0.122,0.130,0.075,0.035,0.017,0.008,0.008,0.004,0.003,0.002,0.010,0.402,0.241,0.152,0.116,0.064,0.020,0.004,0.001,0.000,0.000,0.815,0.086,0.032,0.018,0.011,0.038
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),5915,1517,1561,9.1,9.2,18,17,1.975,0.213,0.314,0.192,0.102,0.063,0.040,0.025,0.017,0.010,0.007,0.004,0.003,0.002,0.002,0.001,0.005,0.141,0.229,0.243,0.136,0.124,0.052,0.034,0.016,0.008,0.005,0.004,0.002,0.001,0.005,0.405,0.247,0.151,0.113,0.060,0.019,0.003,0.001,0.001,0.000,0.830,0.081,0.032,0.019,0.009,0.029
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),17775,1647,1708,10.2,10.3,17,17,2.105,0.187,0.295,0.191,0.117,0.070,0.047,0.028,0.019,0.013,0.008,0.006,0.004,0.003,0.002,0.002,0.008,0.132,0.216,0.253,0.118,0.135,0.071,0.030,0.014,0.008,0.008,0.004,0.002,0.001,0.008,0.414,0.246,0.151,0.109,0.059,0.018,0.003,0.000,0.000,0.000,0.813,0.088,0.032,0.019,0.011,0.037
All Vehicles - StL All Vehicles Volume,Destination,45,EDGAR,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),14067,1711,1767,11.2,11.2,18,18,2.140,0.182,0.291,0.189,0.114,0.076,0.049,0.032,0.020,0.012,0.008,0.006,0.004,0.004,0.003,0.002,0.008,0.124,0.207,0.248,0.121,0.129,0.082,0.040,0.018,0.006,0.007,0.004,0.003,0.001,0.010,0.398,0.238,0.153,0.123,0.065,0.019,0.004,0.000,0.000,0.000,0.820,0.081,0.032,0.017,0.012,0.038
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),18014,1839,1897,13.1,13.3,21,21,2.128,0.160,0.265,0.197,0.130,0.079,0.051,0.036,0.024,0.016,0.011,0.008,0.005,0.004,0.003,0.002,0.009,0.156,0.141,0.163,0.144,0.200,0.090,0.037,0.022,0.018,0.011,0.004,0.003,0.002,0.009,0.324,0.208,0.189,0.159,0.090,0.025,0.004,0.001,0.000,0.000,0.844,0.073,0.028,0.015,0.008,0.032
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),3423,1690,1743,11.4,11.5,21,20,2.026,0.159,0.282,0.226,0.132,0.069,0.043,0.030,0.017,0.010,0.009,0.005,0.004,0.002,0.003,0.002,0.007,0.141,0.141,0.179,0.167,0.226,0.071,0.024,0.017,0.012,0.009,0.004,0.002,0.001,0.006,0.314,0.225,0.197,0.150,0.085,0.024,0.004,0.001,0.000,0.000,0.857,0.069,0.024,0.013,0.007,0.030
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),5153,1750,1819,11.9,12.2,19,19,2.197,0.183,0.278,0.190,0.125,0.075,0.046,0.031,0.020,0.013,0.010,0.007,0.004,0.004,0.002,0.002,0.010,0.178,0.154,0.177,0.139,0.178,0.082,0.033,0.017,0.014,0.008,0.004,0.003,0.003,0.010,0.362,0.213,0.175,0.144,0.080,0.021,0.004,0.001,0.000,0.000,0.828,0.080,0.031,0.017,0.009,0.035
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),5552,1878,1935,13.5,13.7,21,21,2.127,0.152,0.262,0.188,0.132,0.084,0.057,0.042,0.026,0.017,0.011,0.008,0.005,0.004,0.002,0.002,0.008,0.153,0.142,0.154,0.142,0.193,0.099,0.043,0.026,0.020,0.011,0.004,0.003,0.002,0.008,0.321,0.201,0.194,0.165,0.090,0.025,0.004,0.000,0.000,0.000,0.840,0.075,0.029,0.016,0.008,0.032
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),18698,1823,1886,12.7,12.9,21,20,2.125,0.162,0.261,0.200,0.132,0.080,0.051,0.037,0.023,0.015,0.010,0.007,0.005,0.003,0.003,0.002,0.009,0.159,0.143,0.159,0.143,0.207,0.089,0.036,0.022,0.017,0.010,0.003,0.002,0.002,0.008,0.329,0.206,0.188,0.161,0.089,0.022,0.004,0.001,0.000,0.000,0.842,0.074,0.028,0.015,0.008,0.033
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),3900,1729,1785,11.8,12.0,21,21,2.051,0.149,0.272,0.231,0.137,0.072,0.043,0.032,0.019,0.010,0.010,0.006,0.004,0.002,0.003,0.002,0.008,0.140,0.135,0.166,0.169,0.242,0.071,0.024,0.018,0.012,0.009,0.004,0.002,0.001,0.007,0.305,0.220,0.200,0.156,0.089,0.025,0.004,0.001,0.000,0.000,0.856,0.068,0.024,0.013,0.007,0.032
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),5014,1786,1863,12.1,12.4,19,19,2.255,0.187,0.266,0.187,0.123,0.076,0.049,0.032,0.022,0.014,0.010,0.008,0.004,0.004,0.003,0.003,0.012,0.186,0.164,0.168,0.131,0.171,0.082,0.034,0.020,0.016,0.009,0.004,0.003,0.002,0.010,0.379,0.206,0.169,0.145,0.077,0.020,0.003,0.001,0.000,0.000,0.816,0.083,0.034,0.018,0.011,0.038
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),6033,1831,1893,12.8,13.0,21,20,2.102,0.157,0.261,0.191,0.132,0.085,0.058,0.042,0.024,0.016,0.009,0.007,0.004,0.003,0.002,0.002,0.007,0.154,0.142,0.157,0.144,0.196,0.099,0.044,0.025,0.017,0.010,0.003,0.002,0.001,0.006,0.321,0.207,0.195,0.166,0.088,0.020,0.003,0.000,0.000,0.000,0.837,0.077,0.029,0.016,0.008,0.033
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),15431,1861,1906,13.8,13.9,21,21,2.080,0.161,0.273,0.190,0.125,0.079,0.050,0.035,0.024,0.017,0.013,0.009,0.005,0.005,0.002,0.003,0.009,0.147,0.137,0.177,0.148,0.181,0.093,0.039,0.021,0.021,0.012,0.006,0.004,0.003,0.011,0.313,0.213,0.190,0.155,0.091,0.031,0.006,0.001,0.000,0.000,0.850,0.072,0.026,0.015,0.008,0.029
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),2197,1493,1530,9.6,9.7,19,19,1.881,0.209,0.317,0.203,0.112,0.059,0.036,0.022,0.012,0.007,0.008,0.004,0.001,0.002,0.001,0.001,0.006,0.155,0.160,0.240,0.159,0.158,0.066,0.022,0.015,0.009,0.006,0.004,0.000,0.001,0.005,0.344,0.249,0.186,0.122,0.072,0.020,0.006,0.001,0.000,0.000,0.865,0.069,0.024,0.011,0.007,0.024
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),5186,1673,1724,11.5,11.7,20,20,2.039,0.181,0.290,0.196,0.129,0.073,0.041,0.029,0.016,0.010,0.009,0.007,0.004,0.004,0.001,0.002,0.008,0.160,0.136,0.203,0.154,0.185,0.084,0.033,0.010,0.011,0.006,0.003,0.003,0.003,0.009,0.326,0.230,0.184,0.145,0.083,0.026,0.005,0.001,0.000,0.000,0.850,0.075,0.025,0.015,0.009,0.026
All Vehicles - StL All Vehicles Volume,Destination,47,EDWARDS,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),4256,2000,2043,15.4,15.5,22,22,2.089,0.141,0.264,0.175,0.129,0.090,0.057,0.044,0.030,0.019,0.017,0.009,0.005,0.006,0.002,0.003,0.009,0.146,0.141,0.151,0.139,0.179,0.101,0.045,0.027,0.031,0.015,0.007,0.004,0.003,0.011,0.317,0.184,0.194,0.162,0.100,0.037,0.006,0.000,0.000,0.000,0.846,0.073,0.026,0.017,0.008,0.030
All Vehicles - StL All Vehicles Volume,Destination,49,EFFINGHAM,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),125172,2313,2340,22.5,22.2,21,21,2.096,0.149,0.293,0.195,0.112,0.067,0.041,0.026,0.018,0.013,0.011,0.009,0.007,0.006,0.005,0.005,0.043,0.092,0.156,0.261,0.170,0.125,0.048,0.035,0.016,0.010,0.008,0.007,0.007,0.005,0.060,0.322,0.276,0.158,0.097,0.061,0.050,0.032,0.004,0.000,0.000,0.802,0.104,0.033,0.017,0.010,0.034
All Vehicles - StL All Vehicles Volume,Destination,49,EFFINGHAM,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),21958,2025,2044,17.8,17.6,22,22,1.927,0.143,0.290,0.205,0.125,0.076,0.044,0.027,0.017,0.012,0.010,0.008,0.006,0.005,0.005,0.003,0.024,0.081,0.146,0.242,0.183,0.149,0.069,0.043,0.018,0.009,0.008,0.006,0.006,0.004,0.036,0.283,0.271,0.176,0.121,0.078,0.045,0.023,0.003,0.000,0.000,0.823,0.097,0.029,0.015,0.009,0.027
All Vehicles - StL All Vehicles Volume,Destination,49,EFFINGHAM,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),40825,2242,2274,21.3,21.0,20,20,2.146,0.160,0.300,0.189,0.105,0.063,0.040,0.026,0.018,0.013,0.011,0.009,0.008,0.006,0.006,0.005,0.041,0.103,0.173,0.280,0.155,0.104,0.041,0.032,0.016,0.010,0.008,0.006,0.007,0.005,0.060,0.362,0.280,0.139,0.084,0.053,0.046,0.032,0.004,0.000,0.000,0.792,0.108,0.035,0.018,0.011,0.036
All Vehicles - StL All Vehicles Volume,Destination,49,EFFINGHAM,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),38097,2275,2310,21.3,21.0,21,21,2.127,0.143,0.289,0.197,0.115,0.070,0.043,0.028,0.019,0.014,0.010,0.009,0.007,0.006,0.006,0.005,0.039,0.088,0.153,0.262,0.178,0.130,0.045,0.035,0.017,0.011,0.008,0.007,0.007,0.005,0.054,0.322,0.284,0.161,0.096,0.060,0.047,0.027,0.003,0.000,0.000,0.797,0.107,0.034,0.017,0.010,0.035
All Vehicles - StL All Vehicles Volume,Destination,49,EFFINGHAM,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),125356,2261,2289,21.6,21.2,21,21,2.107,0.153,0.295,0.196,0.112,0.067,0.040,0.025,0.017,0.013,0.010,0.008,0.007,0.006,0.005,0.004,0.042,0.092,0.162,0.264,0.171,0.123,0.048,0.035,0.016,0.009,0.008,0.006,0.006,0.005,0.055,0.327,0.280,0.157,0.096,0.061,0.048,0.028,0.003,0.000,0.000,0.800,0.105,0.034,0.017,0.010,0.034
All Vehicles - StL All Vehicles Volume,Destination,49,EFFINGHAM,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),24639,1992,2012,17.0,16.9,22,22,1.930,0.141,0.289,0.207,0.127,0.079,0.045,0.027,0.017,0.012,0.009,0.007,0.006,0.005,0.004,0.003,0.022,0.079,0.147,0.236,0.184,0.153,0.073,0.045,0.019,0.008,0.008,0.006,0.006,0.004,0.032,0.280,0.273,0.179,0.123,0.079,0.044,0.020,0.002,0.000,0.000,0.821,0.099,0.029,0.015,0.009,0.027
All Vehicles - StL All Vehicles Volume,Destination,49,EFFINGHAM,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),37960,2173,2213,20.2,19.9,19,19,2.205,0.171,0.305,0.187,0.102,0.060,0.039,0.025,0.018,0.012,0.010,0.008,0.007,0.006,0.005,0.004,0.041,0.109,0.184,0.288,0.147,0.095,0.039,0.031,0.016,0.010,0.008,0.006,0.006,0.005,0.056,0.380,0.284,0.132,0.079,0.050,0.044,0.028,0.003,0.000,0.000,0.785,0.110,0.036,0.019,0.012,0.038
All Vehicles - StL All Vehicles Volume,Destination,49,EFFINGHAM,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),39766,2198,2237,19.9,19.7,20,20,2.132,0.145,0.295,0.201,0.116,0.069,0.042,0.027,0.017,0.013,0.010,0.008,0.007,0.005,0.005,0.004,0.036,0.087,0.157,0.266,0.184,0.130,0.043,0.035,0.016,0.010,0.008,0.006,0.006,0.004,0.048,0.325,0.291,0.163,0.094,0.059,0.043,0.023,0.002,0.000,0.000,0.792,0.109,0.036,0.017,0.010,0.036
All Vehicles - StL All Vehicles Volume,Destination,49,EFFINGHAM,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),115232,2411,2433,24.5,24.1,22,22,2.066,0.144,0.285,0.193,0.110,0.067,0.042,0.027,0.020,0.015,0.012,0.011,0.009,0.007,0.007,0.006,0.045,0.091,0.145,0.251,0.172,0.130,0.048,0.034,0.017,0.011,0.009,0.008,0.009,0.006,0.069,0.306,0.267,0.162,0.102,0.064,0.054,0.039,0.006,0.000,0.000,0.813,0.100,0.030,0.016,0.009,0.032
All Vehicles - StL All Vehicles Volume,Destination,49,EFFINGHAM,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),14864,2135,2146,20.6,20.3,23,22,1.899,0.152,0.299,0.199,0.114,0.063,0.039,0.026,0.018,0.013,0.011,0.009,0.008,0.007,0.006,0.005,0.031,0.087,0.143,0.256,0.180,0.132,0.057,0.034,0.016,0.011,0.011,0.007,0.008,0.005,0.053,0.291,0.262,0.166,0.115,0.077,0.051,0.032,0.006,0.000,0.000,0.837,0.089,0.027,0.014,0.007,0.026
All Vehicles - StL All Vehicles Volume,Destination,49,EFFINGHAM,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),45022,2329,2349,22.9,22.5,21,21,2.020,0.144,0.287,0.194,0.111,0.068,0.042,0.027,0.019,0.015,0.012,0.011,0.009,0.007,0.007,0.006,0.041,0.093,0.152,0.259,0.170,0.123,0.046,0.034,0.017,0.011,0.009,0.007,0.008,0.006,0.065,0.324,0.273,0.154,0.096,0.060,0.049,0.038,0.006,0.000,0.000,0.811,0.104,0.031,0.015,0.009,0.030
