,GEOID,exposure1,exposure2,exposure3,exposure4
73,17073030300,7.190973245420819e-06,0.0015569252397949103,0.0026343627748454798,0.008610780781826597
74,17073031200,7.190973245420819e-06,0.00011916796277793601,0.0002003841023415933,0.0006710177453582998
75,17073031000,7.190973245420819e-06,0.0003121639186703322,0.000531034889280191,0.0017861443579572987
76,17073030100,7.190973245420819e-06,0.0005300002340312476,0.0009065935857957019,0.003074205131958098
77,17073030500,7.190973245420819e-06,4.8899508147891624e-05,7.93664639935536e-05,0.0002571344520306752
78,17073030201,7.190973245420819e-06,0.00042960027331907254,0.0007308731431320816,0.0024475829372748864
79,17143001300,8.94344914617067e-05,2.936080051149769e-05,7.386163381909233e-05,0.0002350520145095714
80,17143001500,0.00018796754390466386,5.603950116076083e-05,0.0001537982060451128,0.0005069316982699424
81,17115002602,7.190973245420819e-06,0.00012181452226591207,0.00020193177457555463,0.0009826110505033324
82,17115000200,7.190973245420819e-06,0.00014756840769646716,0.0002458771839041777,0.0012062265348850875
83,17115002402,7.190973245420819e-06,0.0012057722887953341,0.0020228693967998383,0.009723806669372736
84,17115003000,7.190973245420819e-06,0.00032585994508731566,0.0005463802398832022,0.0026673889598040307
85,17115002500,7.190973245420819e-06,0.00323981219943575,0.005422783307558466,0.02572547167178402
86,17115002200,7.190973245420819e-06,0.001082899624559734,0.0018167685283509351,0.008740216456530567
87,17115002800,7.190973245420819e-06,0.000508880914895313,0.0008552802353680638,0.004177125148779968
88,17115002904,7.190973245420819e-06,0.001383918061741123,0.002325818902487122,0.011246697634472846
89,17115002700,7.190973245420819e-06,0.00013695322470815555,0.00022734758780404391,0.0011044072820871641
90,17115001100,7.190973245420819e-06,0.0003524365835521347,0.000590714198861726,0.002874315506397934
91,17055040400,7.190973245420819e-06,4.739450070530044e-05,7.414319160826746e-05,0.0014826551945299313
92,17115002100,7.190973245420819e-06,3.0325673672831416e-05,4.667564677212824e-05,0.00020819533246010097
93,17143001600,0.0011262747074685918,0.0003155899129358612,0.000917879324978362,0.0030433335684166085
