,GEOID,ALAND
319,17023060200,28026730
320,17023060300,137780214
321,17023060400,411606798
322,17023060100,721141166
323,17143002300,3273073
324,17143002400,2029560
325,17143002500,1566472
326,17143002600,4061528
327,17143002800,4461799
328,17143003000,4328930
329,17143003101,6465430
330,17097865801,3452239
331,17097861505,4434536
332,17097861702,2525519
333,17083010200,120645331
334,17083010500,131598028
335,17083010100,235865594
336,17083010300,112490447
337,17021958900,7068864
338,17031805402,1975529
339,17031805501,2023150
340,17031829600,1605835
341,17031420800,347603
342,17031470100,1589028
343,17031480100,659618
344,17031480200,286108
345,17031480300,415735
346,17031480400,1809911
347,17031805502,1849506
348,17031805600,1890905
349,17031830001,2643928
350,17031830006,5771655
351,17031650400,1098628
352,17031650500,3246103
353,17031660400,645646
354,17031800600,1539664
355,17031801000,2533868
356,17031801100,1873164
357,17031801200,1947011
358,17031811402,1618176
359,17031813400,1110013
360,17031813200,1116204
361,17031821401,854021
362,17031805702,1676144
363,17031805802,1746701
364,17099964200,2807348
365,17031821402,1676854
366,17031821600,3554092
367,17031821700,1550162
368,17031290900,996496
369,17031291200,329138
370,17031421200,325749
371,17031806001,1835739
372,17031806003,1238825
373,17099964300,2762690
374,17031801300,1873798
375,17031801400,1434291
376,17031801603,8032278
377,17031801701,2167634
378,17031806004,2688414
379,17031806300,2011842
380,17031806400,1143691
381,17031806501,834958
382,17031271500,162821
383,17031292200,394160
384,17031292400,330658
385,17031292500,982499
386,17031806700,1770972
387,17031806801,2239491
388,17031806802,964594
389,17031806900,2740271
390,17031807000,1135604
391,17031801901,3911136
392,17031801902,3175295
393,17031802100,1845008
394,17031802200,4437336
395,17031271800,205986
396,17031280100,564644
397,17031280400,502194
398,17031300600,328182
399,17031300700,329127
400,17031301100,211425
401,17099962100,210113232
402,17031480500,1363482
403,17031490300,632685
404,17031490500,1425891
405,17099962200,295758709
406,17099962600,12306837
407,17099963400,19202560
408,17099963800,8310527
409,17099962000,38127715
410,17099962700,1560569
411,17099964100,533831554
412,17099963200,49371169
413,17099962400,84166082
414,17099963600,3065205
415,17099962500,13598604
416,17099963900,24406188
417,17099961900,52421318
418,17099962900,1375025
419,17099963500,42663651
420,17099961800,371602063
421,17099962300,282714743
422,17099963700,377903167
423,17099963000,7797534
424,17031660500,659363
425,17031520200,1108055
426,17031520300,958354
427,17031520400,725278
428,17031520500,1050138
429,17031520600,1089377
430,17031802702,5659568
431,17031660600,658608
432,17031660700,480681
433,17099962800,3017031
434,17099964000,281929288
435,17031660800,655390
436,17031660900,1811423
437,17031661000,1118966
438,17031802300,5202013
439,17031802402,5417488
440,17031802503,1929689
441,17031802504,3403958
442,17031280900,114689
443,17031301600,329517
444,17031490600,683115
445,17031490700,639811
446,17031490800,1079253
447,17031491000,1277974
448,17031491100,1321949
449,17031530200,1297343
450,17031530300,1308194
451,17031530400,1312063
452,17031530600,966243
453,17031560100,693892
454,17031670200,326542
455,17031670300,326330
456,17031670400,326418
457,17031661100,1299431
458,17031670100,326892
459,17031670600,327032
460,17031670700,326730
461,17031670800,326299
462,17031670900,326291
463,17031802701,3206985
464,17091010800,119294745
465,17197883505,16171819
466,17031260900,228195
467,17031261000,499037
468,17031281900,421311
469,17031310200,320572
470,17031310300,318572
471,17031310400,124462
472,17031310500,161938
473,17031491200,649492
474,17031491300,646033
475,17031491400,829869
476,17031500100,2652722
477,17031500200,2042414
478,17031500300,709172
479,17031560200,662049
480,17031560300,653932
481,17031560700,661239
482,17031560800,1321148
483,17031560900,1319260
484,17031561000,1328253
485,17161022200,1804862
486,17031801702,3334398
487,17179021604,9438901
488,17091011000,143398822
489,17091011200,67040965
490,17091012100,4402487
491,17091012200,5919883
492,17091012500,23817163
493,17091010400,102341760
494,17091012600,248924627
495,17091010300,315991932
496,17091010100,127889913
497,17091010500,16811258
498,17091011900,720998
499,17091010900,189425605
500,17091011400,11456588
501,17119402722,14166286
502,17201000403,4392325
503,17119403802,301258806
504,17119401000,10516640
505,17119403532,63466601
506,17119403502,22585853
507,17119403601,24557851
508,17119402400,6237026
509,17119403101,42912186
510,17119401300,5248495
511,17119401721,7641972
512,17119402803,69569579
513,17119402000,6536871
514,17119402701,31159563
515,17119402801,54759231
