GEOID,Area_Name,percent2,income2,percent3,income3,percent4,income4,percent5,income5,percent6,income6,percent7,income7
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",42.8,32083,22.9,86569,18.9,44933,8.8,79460,4.3,-,2.4,-
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",29,66111,23.4,75871,12.9,90662,22.9,37083,6.3,33125,5.4,59632
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",33.7,69583,26,49444,15.4,-,9.9,41042,8.2,32381,6.7,42609
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",36.6,33214,27.5,39276,19.7,51615,9.8,87000,5.2,-,1.2,-
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",65.1,58403,12.7,-,6.8,44167,15.5,47555,0,-,0,-
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",83.8,62500,11.5,-,1.7,-,2.9,-,0,-,0,-
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",62,41964,16.9,149688,21.1,-,0,-,0,-,0,-
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",57.4,44688,29.8,73839,12.9,-,0,-,0,-,0,-
1400000US17031030200,"Census Tract 302, Cook County, Illinois",55.6,79417,17.9,112763,16.6,122330,9.9,174615,0,-,0,-
1400000US17031030300,"Census Tract 303, Cook County, Illinois",48.3,55556,21.9,27366,12.6,82109,11.4,-,2.3,-,3.4,-
1400000US17031030400,"Census Tract 304, Cook County, Illinois",58.3,60536,17.7,180278,18.5,27315,5.1,-,0.4,-,0,-
1400000US17031030500,"Census Tract 305, Cook County, Illinois",52.8,89565,35.1,80921,6.6,156190,1.7,-,0,-,3.8,-
1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",59.9,46908,20.9,28750,14.5,95353,4.6,-,0,-,0,-
1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",72.2,41250,17.6,-,5.1,-,2.7,-,0,-,2.4,-
1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",56.5,70463,31.1,64338,10.9,70598,1.5,-,0,-,0,-
1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",62.7,64643,15.9,89236,12.5,22833,5.9,83125,3,-,0,-
1400000US17031030702,"Census Tract 307.02, Cook County, Illinois",74.4,90362,12.4,147500,0.9,-,12.4,-,0,-,0,-
1400000US17031030703,"Census Tract 307.03, Cook County, Illinois",74.3,78173,21,45469,4.7,-,0,-,0,-,0,-
1400000US17031030706,"Census Tract 307.06, Cook County, Illinois",71,38418,24.2,-,1.4,-,0,-,0,-,3.4,-
1400000US17031030800,"Census Tract 308, Cook County, Illinois",60.1,100250,12.1,118326,22,241033,4,-,1.7,-,0,-
1400000US17031030900,"Census Tract 309, Cook County, Illinois",51.3,98750,23.7,155750,17.3,133859,3.3,-,1.6,-,2.8,-
1400000US17031031000,"Census Tract 310, Cook County, Illinois",56.8,80417,28.8,82455,11.9,129338,2.5,139286,0,-,0,-
1400000US17031031100,"Census Tract 311, Cook County, Illinois",62.1,109729,16.5,-,8.8,124712,6.2,-,0,-,6.4,-
1400000US17031031200,"Census Tract 312, Cook County, Illinois",52.6,67297,24.3,40455,9.7,-,8.3,-,5,-,0,-
1400000US17031031300,"Census Tract 313, Cook County, Illinois",63.3,58245,10,103942,22.1,32059,3.4,-,0,-,1.1,-
1400000US17031031400,"Census Tract 314, Cook County, Illinois",75.2,117617,24.8,191402,0,-,0,-,0,-,0,-
1400000US17031031501,"Census Tract 315.01, Cook County, Illinois",46.7,28920,23.2,17976,22.8,-,5.2,-,1,-,1.1,-
1400000US17031031502,"Census Tract 315.02, Cook County, Illinois",60.1,29408,8.4,-,19,-,0,-,12.5,60195,0,-
1400000US17031031700,"Census Tract 317, Cook County, Illinois",64.5,92500,19.5,188221,12.6,106435,0,-,3.4,-,0,-
1400000US17031031800,"Census Tract 318, Cook County, Illinois",54.1,99479,24.9,186375,17.4,-,2.1,-,1.5,-,0,-
1400000US17031031900,"Census Tract 319, Cook County, Illinois",56.5,106111,18.3,157708,15.5,225179,9.7,-,0,-,0,-
1400000US17031032100,"Census Tract 321, Cook County, Illinois",62.1,114828,28.1,127478,9.8,-,0,-,0,-,0,-
1400000US17031040100,"Census Tract 401, Cook County, Illinois",48.2,112500,24.7,96458,20.6,184625,4.2,79375,0,-,2.3,-
1400000US17031040201,"Census Tract 402.01, Cook County, Illinois",41.1,88833,37.2,83214,18.6,104766,2.1,-,1,-,0,-
1400000US17031040202,"Census Tract 402.02, Cook County, Illinois",45.1,58030,23.4,31582,18.5,-,5.1,-,7.8,-,0,-
1400000US17031040300,"Census Tract 403, Cook County, Illinois",40.2,72167,38.9,113258,16.3,177448,3.4,98194,1.1,-,0,-
1400000US17031040401,"Census Tract 404.01, Cook County, Illinois",50.3,83454,25.6,131844,15.7,188594,5.8,108490,0,-,2.6,-
1400000US17031040402,"Census Tract 404.02, Cook County, Illinois",43.5,128021,33.6,129286,18.4,206346,4.5,-,0,-,0,-
1400000US17031040600,"Census Tract 406, Cook County, Illinois",43.8,101719,19.4,110625,30.6,93095,6.2,-,0,-,0,-
1400000US17031040700,"Census Tract 407, Cook County, Illinois",55.8,105729,20.3,102500,18.7,133929,1.6,-,3.5,-,0,-
1400000US17031040800,"Census Tract 408, Cook County, Illinois",50.4,82813,30.8,126500,16.1,-,2.7,"250,000+",0,-,0,-
1400000US17031040900,"Census Tract 409, Cook County, Illinois",51.7,102083,19.1,-,25.8,212375,3.4,-,0,-,0,-
1400000US17031050100,"Census Tract 501, Cook County, Illinois",44.4,122639,25.6,173929,25.6,196667,2.8,"250,000+",1.7,-,0,-
1400000US17031050200,"Census Tract 502, Cook County, Illinois",33.1,83561,27.9,137109,30.5,"250,000+",5.5,"250,000+",1.7,-,1.2,-
1400000US17031050300,"Census Tract 503, Cook County, Illinois",45.5,70885,24.1,90781,20.3,-,6.4,101304,3.7,-,0,-
1400000US17031050500,"Census Tract 505, Cook County, Illinois",36.5,134794,19.8,145057,22.6,"250,000+",20.5,"250,000+",0.6,-,0,-
1400000US17031050600,"Census Tract 506, Cook County, Illinois",44.5,139141,24.9,216250,30.7,"250,000+",0,-,0,-,0,-
1400000US17031050700,"Census Tract 507, Cook County, Illinois",45.3,152614,24.9,180893,24.9,188472,2.9,-,0,-,1.9,-
