,FIPS,inflow_exposure1,inflow_exposure2,inflow_exposure3,inflow_exposure4
0,17031803610,101532.60677223904,22405016.65637871,53210374.66958421,121847272.68591093
0,17031803611,69441.32679397211,15948430.514497241,38302093.32119404,87156370.511007
0,17031803612,18952.736262579412,4791916.409959382,11559692.556110598,26572608.51267794
0,17031803701,14179.710962917601,3557255.357268312,8614870.55597353,19685140.813447658
0,17031803702,44490.3389058159,9982428.40766992,23745286.730449338,54354015.04662243
0,17031803800,20980.272561673937,4821925.468438578,11497311.572489329,26388048.82477757
0,17031803901,23853.626243371527,5632350.865432346,13445239.083823636,30944932.86430327
0,17031803902,12731.066709647866,3075162.2410404044,7344127.188944035,16933287.359006554
0,17031804000,36398.24183833076,8290745.2813127,19694202.296919994,45311112.96335533
0,17031804102,60925.38918139855,13301584.203595774,31758399.96138795,72064197.61012354
0,17031804104,36582.2589840748,8388996.119533563,19989865.310215246,45893685.55455721
0,17031804105,20199.31480195513,4762726.113381304,11360266.61770805,26188189.25312841
0,17031804106,90363.82596554497,19450932.110920835,46120444.82408842,105230411.40486693
0,17031804108,28580.67162870281,6449605.994687251,15409162.557556057,35138247.03819224
0,17031804109,11303.948078065556,2821930.951780019,6759711.299842013,15612162.39576865
0,17031804201,105540.35749390039,21982731.721091427,52917873.6743569,119056518.92721766
0,17031804202,58967.958732825165,12847939.000769982,30655793.6059972,69742266.72672924
0,17031804305,49101.07796379322,11088730.231184259,26303569.36877442,61013694.519121
0,17031804306,33484.21566879444,7570876.587827356,17938030.449106213,41729575.49994569
0,17031804308,50402.53421528229,11414459.297969688,27216003.305941164,62612102.50762545
0,17031804309,8681.780516147846,2215787.69648105,5306781.981649607,12406912.883013353
0,17031804310,120654.19161157822,25643236.073319852,60819133.17650864,139803121.71665603
0,17031804311,97032.91695444087,20977922.915995304,50123176.735437416,114409557.39204493
0,17031804403,78963.481286975,16910724.382750053,39965142.90959924,93278147.53345981
0,17031804404,50372.18736002946,11239351.859754974,26803875.571259473,62416370.64120108
0,17031804405,26591.018690608078,6153325.625161928,14661630.242999148,34550876.89239936
0,17031804406,46299.799445889264,10299467.58220495,24403876.22501584,57285498.65672833
0,17031804505,15004.903400716446,3562837.594370656,8454499.567339374,19855252.949952316
0,17031804506,29017.544422429542,6712738.984558354,15933494.113434296,37181514.393513285
0,17031804507,289604.22581696534,60007663.370403215,141472318.3416876,0.0
0,17031804508,14949.96655137811,3860646.3937265305,9356656.863347009,21664663.93973506
0,17031804509,39892.49501456668,9373829.749669436,22279598.550847262,51933203.86778783
0,17031804510,33580.80170037383,7860565.051430303,18840335.091225073,43363692.5146223
0,17031804511,10022.000348440582,2542763.981105208,6072024.554061336,14177463.791578032
0,17031804603,111685.99126743563,23691345.656427935,55995361.98461453,128028123.72026734
0,17031804606,74583.2659743036,16130311.802144399,38136845.72387035,87381366.65054688
0,17031804607,107616.03817555612,23329364.283915743,55313622.25553672,126416871.8181447
0,17031804608,17106.82479400821,4088041.2139171627,9753971.436327778,22504061.777541056
0,17031804609,49673.85799645647,11128234.530927218,26549380.545087397,60949031.413399234
0,17031804610,14459.540258285699,3675389.7063908465,8793286.793979209,20412186.173414193
0,17031804611,44600.93926571813,10169236.49398115,24175895.13254647,55577356.133362815
0,17031804701,139876.1749094947,29818700.228316445,70480408.583999,161412534.76277345
0,17031804705,29315.15740500015,6919325.407692006,16481125.463594357,38037775.08438886
0,17031804706,6860.896507453246,1781159.1628656033,4281858.141885145,9921935.692442598
0,17031804709,78617.25272669161,17294439.100219447,41147663.742870435,93938731.91955975
0,17031804710,20956.563280019134,4918753.279626683,11711204.592808127,27031865.047537606
0,17031804711,149691.95886837493,31637761.473495524,74839656.89898854,171024771.20698655
0,17031804712,52609.96649864143,11772973.919253241,27931876.239419952,64191583.50628708
0,17031804713,77469.48453475395,16910503.100328144,40032901.022006825,91783361.77134876
0,17031804714,19790.970705234635,4681041.122163558,11244577.55130522,25677952.097563636
0,17031804715,16154.069840809016,3875974.021905228,9284385.413996667,21345780.539498396
0,17031804716,52598.22540507893,11703386.836106526,27795148.785725147,63684731.3224479
0,17031804803,51537.22428310611,11599965.232439099,27526206.811464246,63282131.234976605
0,17031804804,64552.210296093435,14359632.712789342,34155991.21117482,78301553.07856964
0,17031804805,60862.63236782881,13240017.418113109,31511432.9275646,71799054.45466475
0,17031804806,33719.57623636842,8062309.633625544,19388313.155794445,44405406.432204835
0,17031804807,35495.72093838671,8025951.461649518,19027067.979112603,43869875.35476013
0,17031804808,7625.037605563448,1909415.7108174406,4570386.172336496,10581863.565225983
0,17031804809,43527.868483102524,9947863.281894224,23626854.030296437,54409540.36551792
0,17031804810,115135.41506414593,24579539.642319962,58424658.26791463,133665094.51423126
0,17031804901,36050.837733798,8193390.741508986,19559938.42562587,44717708.23026445
0,17031804902,35583.05218832738,8057434.404691193,19137425.3497082,43959901.28063288
0,17031805001,12529.04745698096,3027703.727301216,7236938.232578039,16676777.210289162
0,17031805002,104689.80543364021,22889117.15201112,54206115.267744035,124220929.66665038
0,17031805105,117903.94872081082,24849826.835454267,58709282.88839211,134027055.912876
0,17031805106,18438.75789298157,4328792.152007398,10320857.402305437,23737120.78575484
0,17031805107,113559.18795966935,24165255.774507232,57131970.798471205,130594011.63631478
0,17031805108,91842.12544132414,20041751.281148057,47478645.75066004,108870274.51159859
0,17031805109,15864.715390194397,3859611.380028323,9233406.337254522,21278689.57746125
0,17031805110,16129.203090132818,3922612.5438840757,9388458.477535456,21632679.154632725
0,17031805111,96908.34790792115,21017502.598697655,49669474.943908155,113979495.55838071
0,17031805112,20415.217169272368,4818713.147396744,11482543.908006,26464695.88515891
0,17031805201,8236.936720889147,2098620.096134779,5048493.261943995,11637434.4507749
0,17031805202,21583.056310178075,5231926.502326569,12519759.007608388,28807855.095492274
0,17031805301,7950.248461141521,2022594.7933490737,4844962.516259376,11208707.401119333
0,17031805302,11857.424583444374,2975642.212465434,7139794.305795598,16470382.056272957
0,17031805401,9123.574634766928,2306149.989624448,5526801.6124981325,12774283.652047388
0,17031805402,20738.41072423291,4811553.40048901,11473130.008025642,26327971.327254526
0,17031805501,5985.819072685981,1511179.3512971548,3631583.801393806,8367719.878098431
0,17031805502,9869.943603071228,2364328.5068757483,5643929.005554683,12997081.574809857
0,17031805600,10366.443774291396,2336480.1053839806,5557929.321976334,12729867.828223515
0,17031805701,24022.791779013907,5564451.881671092,13263003.274151437,30445761.335383948
0,17031805702,2435.2122936797496,662043.570429594,1593799.5052045712,3702318.839942084
0,17031805801,8191.30490320751,2091704.6597973998,5023344.612973783,11603510.272636801
0,17031805802,19623.108519265905,4558475.643428403,10875085.681976493,24959873.187273376
0,17031805901,18660.495875936213,4513705.499616937,10796482.381603235,24846446.526624113
0,17031805902,29377.49927005577,6536294.322264199,15533791.919241536,35547236.37384833
0,17031806001,88599.63231453665,19659318.027811825,46675805.51505074,106864095.78845625
0,17031806002,117906.05344477801,25766284.895952586,61079798.59640992,139687316.00472838
0,17031806003,143760.72120879547,30736097.04714956,72725247.08519998,166218687.7028013
0,17031806004,95138.67555075968,20571057.138610102,48768795.832994886,111374042.22152033
0,17031806102,15160.560239604867,3718063.0421100575,8912276.998407077,20512583.924023386
0,17031806103,32085.650580242214,7495534.516622786,17866084.07310093,41054168.37267087
0,17031806104,27816.84702489852,6681168.70866173,15960634.71562227,36728134.58665676
0,17031806201,30764.874473459997,7171940.899342911,17135161.171819717,39292470.177806064
0,17031806202,18595.8242937114,4481918.508308161,10726217.490913771,24669914.955550127
0,17031806300,15564.193330316955,3784115.4562690803,9037570.075316243,20853237.719370604
0,17031806400,2868.1316649310756,792762.8969929733,1913594.2628992456,4441216.438467883
0,17031806501,13049.091659647142,3304777.081188089,7923961.584762769,18318880.238549955
0,17031806502,9062.532413366143,2244047.3744678143,5372337.605387389,12397300.087043054
0,17031806600,15283.102779577854,3677286.9505280247,8791328.560216581,20234158.592852112
0,17031806700,25191.824792421045,5524706.496847316,13120397.39197668,29975932.7342353
0,17031806801,16878.99289642029,4052418.873316469,9681140.821668595,22235198.46208626
0,17031806802,6393.022889365029,1603060.3760546106,3850585.1863060785,8870912.213263756
0,17031806900,48497.22203990325,11156232.375080237,26597370.366281774,60968555.16447852
0,17031807000,28035.218642857,6515700.922612656,15525633.634679528,35652201.69025304
0,17031807100,10585.268730571863,2440073.509929157,5809114.141355239,13330485.052501397
0,17031807200,17063.992815878486,3758577.0945982486,8922787.762802716,20405770.709296964
0,17031807300,51058.44680049311,11505742.279423814,27320556.817187283,62695296.709583774
0,17031807400,28334.108601031883,6592392.129048498,15710355.850559775,36025304.11633683
