,FIPS,exposure1,exposure2,exposure3,exposure4
0,17119402801,2.8690363249173667,2.869036324917367,2.861807225351095,2.867881138676239
0,17119402802,2.758076523178531,2.758076523178531,2.7654016190977644,2.762667877486036
0,17119402803,2.6699716213218383,2.6699716213218383,2.67403122232077,2.671922676256498
0,17119402900,1.681283614627043,1.6812836146270436,1.6938375385386657,1.688399203832875
0,17119403001,2.065448715230728,2.065448715230728,2.0717624640509644,2.0723664978869873
0,17119403002,2.0067695026145387,2.0067695026145382,2.0112639147957183,2.0107327556472296
0,17119403101,2.551187297012895,2.551187297012895,2.5630339564436913,2.5572137694315806
0,17119403121,2.7796249784611406,2.7796249784611415,2.800163391499251,2.7958939712591766
0,17119403122,2.738330530018099,2.738330530018099,2.7580561742168803,2.7503560036843933
0,17119403200,2.906328432830039,2.9063284328300387,2.917936932824342,2.9192662115692953
0,17119403300,2.628036709865179,2.6280367098651785,2.631846675777321,2.6327832483851124
0,17119403401,3.363084316150432,3.363084316150431,3.373702982027469,3.37645115086778
0,17119403402,3.3148821778525988,3.314882177852599,3.3270187759337615,3.328143011089309
0,17119403502,2.7397422909706033,2.7397422909706033,2.754563935945013,2.752653374363505
0,17119403531,2.83069417716485,2.8306941771648497,2.846782257452924,2.847368076895686
0,17119403532,3.0155871333955204,3.01558713339552,3.0283597967320692,3.0305058035776824
0,17119403533,2.762654389836065,2.762654389836066,2.7812155965324945,2.7778679746140393
0,17119403534,3.0811475896878244,3.0811475896878244,3.086787195659458,3.088214265245973
0,17119403601,1.8896650280740193,1.8896650280740208,1.9086301784219668,1.8996851192018767
0,17119403603,1.7567512765167894,1.7567512765167894,1.7747017830104157,1.7650262738357954
0,17119403604,1.704952671040678,1.704952671040678,1.735269221828318,1.7174975297137367
0,17119403701,2.7406556807395224,2.7406556807395224,2.75680401100998,2.7534536497887054
0,17119403702,2.4733690734618854,2.473369073461886,2.4943592404410366,2.4908410398816763
0,17119403801,1.8695081087957064,1.8695081087957064,1.8803465394638719,1.8810667843512816
0,17119403802,1.9575502955890802,1.9575502955890804,1.9135570969771778,1.9476863498683803
0,17119404000,1.937302062832557,1.9373020628325572,1.947578872610535,1.9485497654626973
0,17119404100,2.3925876446845162,2.3925876446845162,2.392587644684516,2.3925876446845162
0,17143000100,1.3142505236527393,1.3142505236527393,1.3137721995639489,1.3143353001610967
0,17143000200,2.123073537356558,2.1230735373565577,2.1227413863735323,2.1231324561707066
0,17143000300,1.7145337204246647,1.7145337204246647,1.7112427460594597,1.7162130057060743
0,17143000500,1.8605382172605094,1.8605382172605096,1.8605116788159606,1.860671690112403
0,17143000600,1.9580167877663686,1.9580167877663686,1.9494098243049927,1.9475088819198885
0,17143000900,2.8732237611580054,2.8732237611580054,2.8580041889601016,2.86989457415601
0,17143001200,1.9181375404456655,1.9181375404456653,1.91934851437314,1.9179175562103388
0,17143001300,1.549746177569797,1.549746177569797,1.5497680261519262,1.55104389502905
0,17143001500,2.0657625391708683,2.0657625391708683,2.065901418651269,2.065736841273878
0,17143001600,1.879337012757148,1.8793370127571483,1.8801171210705119,1.87690748278259
