"","X.x","GEOID","countyFIPS","POPULATION","POP_DENSITY","Shape_Area","NUM_WORKERS","EMPLOYMENT_DENSITY","No..Hospitals","No..Populated.Places","Total.Points.of.Interest","exposure_entropy","ALAND","cases1","cases2","cases3","cases4","income","X.y","exposure1","exposure2","exposure3","exposure4","county_pop","estimate_cases1","estimate_cases2","estimate_cases3","estimate_cases4","estimate_cases1_density","estimate_cases2_density","estimate_cases3_density","estimate_cases4_density","pop_density_class","income_class"
"1919",1918,17097861304,17097,3482,11.08582998748,7.3132903198e-05,4066635,0.7006722841,0,0,1,2.88452434722655,1294131,53,7950,9303,22096,61192.872,0,0.00187290461200587,0.000974380196844786,0.00160516433150243,0.00142815899416647,703462,0.262339685725739,39.3509528588609,46.0480395529538,109.370899920678,0.525031690014121,78.7547535021182,92.1579209849315,218.888683444378,"3","2"
"1920",1919,17097861402,17097,8679,2.5359793295,0.000818475021154,4066635,0.2822117202843,0,2,8,3.85286025695516,14743247,53,7950,9303,22096,67403.629,0,0.0221389418839025,0.011629420576293,0.019074577659724,0.0169784984860683,703462,0.653890330963151,98.0835496444726,114.776259414155,272.610580244562,0.114871300548282,17.2306950822423,20.1631643207674,47.8904954134876,"1","2"
"1921",1920,17097861403,17097,2746,6.696777361345,0.00010798409185,4066635,8.4336195908455,0,0,4,3.39607091795912,1992498,53,7950,9303,22096,62566.701,0,0.00188589989370753,0.00097921447030907,0.00164021799376237,0.00144454596437195,703462,0.206888218553383,31.0332327830075,36.3147376830589,86.2528693802935,0.268928995689462,40.3393493534194,47.2046499414919,112.118020542535,"2","2"
"1922",1921,17097861404,17097,6076,14.0873803143933,9.5653955077e-05,4066635,0.375638381567,0,2,4,3.67479707639632,2078450,53,7950,9303,22096,65538.414,0,0.00780885264925523,0.0040778837868885,0.00665724364273046,0.0059525478361601,703462,0.457775970841353,68.666395626203,80.3526388063605,190.849393428501,0.57044420817393,85.5666312260895,100.129103181926,237.821419317192,"3","2"
"1923",1922,17031560400,17031,1516,18.3372209633,3.6245679601e-05,4066635,1.7055066991,0,0,0,1.82640633683604,339633,408,73516,85971,187602,53769.812,0,0.000383648458678604,0.000236763419851445,0.000396177516733599,0.00031740679312705,5194675,0.119069624182456,21.4547119887192,25.08954573674,54.7492638134243,0.908010489653718,163.611027346526,191.329827955931,417.511235000041,"4","2"
"1924",1923,17031710700,17031,3583,29.60116042625,1.3262065846e-05,4066635,1.3137451890625,0,0,13,2.27640181559259,490083,408,73516,85971,187602,24698.292,0,0.00180920215279381,0.00112146097360465,0.00186848365534087,0.00150377217131924,5194675,0.281415872985317,50.7072777411484,59.2980490598546,129.397501479881,1.48723198117864,267.978790020413,313.379462387031,683.842387581066,"4","1"
"1925",1924,17077011700,17077,7021,1.32466649625533,0.000762299152254,19686,1.0454357722268,0,2,7,2.13706687481017,21337414,1,272,313,1634,19511.18,0,0.00174930391463069,0.00157233150324496,0.00266506363825249,0.00446774091021654,60218,0.116593045268856,31.713308313129,36.4936231691521,190.513035969311,0.0141524173100985,3.84945750834679,4.42970661806083,23.125049884701,"1","1"
"1926",1925,17019010300,17019,3789,1.963572365695,0.000457408567012,88986,0.3917832496145,1,0,2,2.38764029286228,8425285,1,620,848,6796,45401.353,0,0.000341176056271303,0.000638753292275002,0.00112000483873119,0.00333702343656429,201081,0.0188431527593358,11.6827547107882,15.9789935399168,128.058066152446,0.00579253587821417,3.59137224449279,4.91207042472562,39.3660738283435,"1","1"
"1927",1926,17019001206,17019,1831,3.024325171555,0.000138051491298,88986,0.5381252176485,0,0,0,1.80535615328035,2457102,1,620,848,6796,121366.287,0,0.000172441236145612,0.00032314898719715,0.000571708032787518,0.00169575121290721,201081,0.00910578324157926,5.64558560977914,7.72170418885922,61.8829029097727,0.00959829042330774,5.9509400624508,8.13935027896496,65.2299817167994,"2","4"
"1928",1927,17031550100,17031,6628,10.2916197918683,0.000149977382298,4066635,0.9297132991416,0,1,12,0.786329414696163,7189486,408,73516,85971,187602,55132.459,0,0.0076164497030619,0.00481287284354318,0.00786528697175053,0.0063767592838544,5194675,0.520576166940184,93.8006801195455,109.692288352977,239.365514878217,0.187536671241181,33.7915341249184,39.5164587335186,86.2310161720297,"3","2"
"1929",1928,17077010900,17077,2364,1.67647122884767,0.001723550449745,19686,0.914451674547567,0,1,7,2.08778082733419,49779882,1,272,313,1634,42331.907,0,0.0004895671388305,0.00043945850040136,0.000744608063037498,0.00125693828506039,60218,0.0392573649075027,10.6780032548407,12.2875552160484,64.1465342588595,0.00204252342563673,0.55556637177319,0.639309832224296,3.33748327749041,"1","1"
"1930",1929,17077010300,17077,3115,0.049755334568867,0.019271799168,19686,0.00359627230349,0,18,53,2.495543469628,544237594,1,272,313,1634,51464.062,0,0.000405349876147021,0.000363706425919655,0.000653705821916843,0.00108023009098949,60218,0.0517287189876781,14.0702115646484,16.1910890431432,84.524726825866,0.000246174434943732,0.0669594463046951,0.0770525981373881,0.402249026698058,"1","2"
"1931",1930,17077011100,17077,3177,17.2294779079075,2.2237862944e-05,19686,7.824573366425,1,0,3,2.12556617726219,870409,1,272,313,1634,2947.369,0,0.000650534467411792,0.000584084449909789,0.000998423093824158,0.00167629930811576,60218,0.0527583114683317,14.3502607193862,16.5133514895878,86.207080939254,0.156988297114321,42.7008168150954,49.1373369967825,256.518877484801,"4","1"
"1932",1931,17097864101,17097,11442,0.924859408359667,0.002353924351843,4066635,0.218141852211,0,1,10,3.59501326377225,62191311,53,7950,9303,22096,100747.51,0,0.0214862110939074,0.0113075229108721,0.018493727527724,0.0164670733912175,703462,0.862059357861548,129.308903679232,151.315815211056,359.39742587375,0.035901055966828,5.38515839502421,6.30165138980002,14.967353446095,"1","4"
"1933",1932,17097863604,17097,2916,3.91409677522,0.000196893867294,4066635,3.180995883825,0,1,7,2.53523941120383,3329982,53,7950,9303,22096,139424.028,0,0.00405608528804065,0.00212496389637621,0.00345035739305967,0.00309404147637092,703462,0.21969630200352,32.954445300528,38.5629188214857,91.592631869241,0.170875825211402,25.6313737817104,29.9935434328618,71.2390987522858,"2","4"
"1934",1933,17077010600,17077,5774,3.2556223487342,0.001401475556801,19686,0.309240929571352,0,0,11,2.10218855091365,67132336,1,272,313,1634,45956.981,0,0.00212962614793284,0.00191417524524932,0.00328163965004934,0.00547306183364971,60218,0.0958849513434521,26.080706765419,30.0119897705005,156.676010495201,0.00369929066641657,1.00620706126531,1.15787797858839,6.04464094892467,"2","1"
"1935",1934,17077011000,17077,6121,3.3148079654578,0.000548262740554,19686,0.58192346105048,0,0,9,1.30503191886972,26165306,1,272,313,1634,93172.622,0,0.00445377509169956,0.00401165186218778,0.00667174041384737,0.0109935045549261,60218,0.101647347969046,27.6480786475805,31.8156199143113,166.091766581421,0.0100616683496776,2.7367737911123,3.14930219344908,16.4407660833731,"2","3"
"1936",1935,17077010200,17077,4162,0.091483828286433,0.006603888855847,19686,0.005252400678177,0,5,15,2.1517586098974,185098780,1,272,313,1634,51041.562,0,0.000553428408526661,0.000496776169510066,0.000854935248086586,0.00144089488036543,60218,0.0691155468464579,18.7994287422365,21.6331661629413,112.934803547112,0.000967101276044747,0.263051547084171,0.302702699402006,1.58024348505712,"1","2"
"1937",1936,17097861010,17097,5695,4.8509418754,0.000403455038604,4066635,0.125346917117667,0,2,5,3.35482504646872,9624272,53,7950,9303,22096,103470.428,0,0.00795167801794638,0.0041615456777622,0.00676543650207105,0.00606755903433836,703462,0.429070795579576,64.3606193369365,75.3140681372981,178.882043379742,0.115467784010168,17.3201676015251,20.2678640499356,48.1391727450691,"2","4"
"1938",1937,17097861608,17097,3454,6.87321535011,0.000148865473702,4066635,0.0776912433268,0,1,3,2.91006414452626,2676859,53,7950,9303,22096,108524.7,0,0.00500313522202716,0.00261773124589909,0.00424682070057579,0.00381497302680376,703462,0.260230119039834,39.0345178559752,45.67775089486,108.491409628381,0.251786144997989,37.7679217496983,44.1955944701187,104.971069054256,"3","4"
"1939",1938,17097860301,17097,3647,9.48408854363333,5.848806697e-05,4066635,1.35380006743267,0,0,4,2.91048064733456,1603275,53,7950,9303,22096,44726.135,0,0.0019625655426668,0.00102115037129451,0.00166932328316224,0.00149287734745902,703462,0.274771060839107,41.2156591258661,48.230097716721,114.553610571715,0.443877093806919,66.5815640710378,77.9129925223729,185.054872919956,"3","1"
"1940",1939,17097864517,17097,2932,4.277944869835,0.000202474440482,4066635,0.270956268194,0,0,3,3.27248398030052,3715698,53,7950,9303,22096,184154.89,0,0.00353895453868982,0.00184427807296345,0.00303345805743742,0.00269707239478089,703462,0.22090176868118,33.1352653021769,38.7745123403965,92.0951977505537,0.153977955389339,23.0966933084008,27.0274890374909,64.1942811751477,"2","4"
"1941",1940,17097861507,17097,3115,2.862361837945,0.000426162881555,4066635,2.0546874478305,0,1,2,2.77207422832926,7789402,53,7950,9303,22096,81330.729,0,0.00270077266954058,0.00140900865931365,0.00229321607009853,0.0020587751863128,703462,0.234689293806915,35.2033940710372,41.1946132129383,97.8432950180678,0.0780349083228609,11.7052362484291,13.6973349458033,32.533194986829,"2","3"
"1942",1941,17097861508,17097,3604,4.01690718771,0.000243174671569,4066635,1.707051233345,0,0,5,3.50600873274414,4325722,53,7950,9303,22096,73475.821,0,0.00816427790721436,0.00426909805845374,0.00694367252897982,0.00622429602342341,703462,0.271531369142896,40.7297053714344,47.6614401346484,113.202964765687,0.162577772237814,24.3866658356721,28.5370002854412,67.7795934974856,"2","3"
"1943",1942,17097861509,17097,3340,2.462416759825,0.00034049775139,4066635,2.29274737781175,0,0,4,3.18472806136798,6061038,53,7950,9303,22096,73960.642,0,0.00722134432048729,0.00378090429577107,0.00615749129525191,0.00551352121362564,703462,0.251641168961508,37.7461753442261,44.1701470726208,104.910627724028,0.107531189807803,16.1296784711704,18.87476714683,44.830361697985,"1","3"
"1944",1943,17097861510,17097,4901,5.14625865500333,0.000144947416244,4066635,1.79008856907667,0,1,3,3.0988240450654,3989039,53,7950,9303,22096,98191.259,0,0.00769624279047053,0.00403337383239482,0.00655878261123281,0.0058837301558125,703462,0.369249511700703,55.3874267551055,64.8137397613517,153.942211519599,0.239746022865362,35.9619034298043,42.0822122776691,99.951473985529,"2","4"
